Country,Indicator,Last,Previous,Highest,Lowest,Date
Cambodia,GDP Annual Growth Rate,5.5,5.3,13.3,-3.1,percent
Cambodia,GDP,31.77,29.5,31.77,0.51,USD Billion
Cambodia,GDP per Capita,1553,1489,1553,354,USD
Cambodia,GDP per Capita PPP,5069,4860,5069,1156,USD
Cambodia,GDP Constant Prices,62637,59503,62637,14175,KHR Billion
Cambodia,GDP from Agriculture,9738,9709,9738,4757,KHR Billion
Cambodia,GDP from Construction,6114,6230,6238,420,KHR Billion
Cambodia,GDP from Manufacturing,17640,15870,17640,1446,KHR Billion
Cambodia,GDP from Mining,1993,1666,1993,20.1,KHR Billion
Cambodia,GDP from Public Administration,817,804,817,318,KHR Billion
Cambodia,GDP from Services,22186,21382,22444,4193,KHR Billion
Cambodia,GDP from Transport,4204,3890,4204,682,KHR Billion
Cambodia,GDP from Utilities,384,384,386,50.8,KHR Billion
Cambodia,Gross Fixed Capital Formation,20147,17915,20147,1525,KHR Million
Cambodia,Unemployment Rate,0.22,0.23,1.26,0.12,percent
Cambodia,Population,16.94,16.77,16.94,5.54,Million
Cambodia,Minimum Wages,204,200,204,61,USD/Month
Cambodia,Inflation Rate,0.64,0.7,35.57,-5.69,percent
Cambodia,Consumer Price Index CPI,204,204,205,149,points
Cambodia,Core Inflation Rate,1.1,1.1,6.2,-0.3,percent
Cambodia,CPI Housing Utilities,142,141,144,123,points
Cambodia,CPI Transportation,126,125,141,100,points
Cambodia,Food Inflation,0.61,0.81,11.5,-6.7,percent
Cambodia,Inflation Rate MoM,0.37,0.01,1.61,-2.48,percent
Cambodia,Interest Rate,0.87,0.88,2.76,0.5,percent
Cambodia,Deposit Interest Rate,1.61,1.52,10.7,1.16,percent
Cambodia,Balance of Trade,-2721,714,3288,-6435,KHR Billion
Cambodia,Current Account,1924,-359,3821,-14668,KHR Billion
Cambodia,Current Account to GDP,-11,-27.3,0.61,-42,percent of GDP
Cambodia,Exports,7160,9282,9407,1711,KHR Billion
Cambodia,Imports,9881,8568,13407,2285,KHR Billion
Cambodia,Tourist Arrivals,533932,594103,755125,4841,
Cambodia,Gold Reserves,41.85,42.61,52.56,12.44,Tonnes
Cambodia,Terrorism Index,0,0,3.5,0,Points
Cambodia,Government Debt to GDP,35.3,34.8,43.1,27,percent of GDP
Cambodia,Government Budget,-3.44,-0.13,2.51,-7.17,percent of GDP
Cambodia,Government Debt,11271,11099,11271,9015,USD Million
Cambodia,Corruption Index,22,24,24,18,Points
Cambodia,Corruption Rank,158,150,166,130,
Cambodia,Credit Rating,30,,,,
Cambodia,Government Spending,10850,10614,10850,562,KHR Million
Cambodia,Military Expenditure,668,619,668,0,USD Million
Cambodia,Corporate Tax Rate,20,20,20,20,percent
Cambodia,Personal Income Tax Rate,20,20,20,20,percent
Cambodia,Sales Tax Rate,10,10,10,10,percent
Cambodia,Disposable Personal Income,2329,2462,2462,736,KHR Thousand
Cambodia,Consumer Spending,42690,40920,42690,10908,KHR Million
Cambodia,Gasoline Prices,1.15,1.14,1.45,0.55,USD/Liter
Cameroon,Currency,587,588,795,407,
Cameroon,GDP Annual Growth Rate,3.2,3.7,8.5,-2.2,percent
Cameroon,Unemployment Rate,3.7,3.8,9.6,3.1,percent
Cameroon,Inflation Rate,3.9,4.3,8.5,0.3,percent
Cameroon,Interest Rate,5,5,5,2.45,percent
Cameroon,Balance of Trade,-123,-135,304,-1187,XAF Billion
Cameroon,Current Account,-1502,-946,-118,-1502,XAF Billion
Cameroon,Current Account to GDP,-2.7,-3.4,1.38,-7.26,percent of GDP
Cameroon,Government Debt to GDP,41.9,45.3,131,9.3,percent of GDP
Cameroon,Government Budget,-0.9,-1.1,33,-6.4,percent of GDP
Cameroon,Corporate Tax Rate,33,33,38.5,33,percent
Cameroon,Personal Income Tax Rate,38.5,38.5,38.5,35,percent
Cameroon,GDP Annual Growth Rate,3.2,3.7,8.5,-2.2,percent
Cameroon,GDP,47.95,43.64,47.95,0.61,USD Billion
Cameroon,GDP per Capita,1461,1442,1833,860,USD
Cameroon,GDP per Capita PPP,4849,4786,4849,3482,USD
Cameroon,GDP Constant Prices,6258,6253,6290,2440,XAF Billion
Cameroon,GDP from Agriculture,251,268,459,204,XAF Billion
Cameroon,GDP from Construction,391,394,409,184,XAF Billion
Cameroon,GDP from Public Administration,659,630,705,398,XAF Billion
Cameroon,GDP from Transport,652,663,663,210,XAF Billion
Cameroon,Gross Fixed Capital Formation,1246,1245,1324,969,XAF Billion
Cameroon,Unemployment Rate,3.7,3.8,9.6,3.1,percent
Cameroon,Population,28.6,27.9,28.6,5.12,Million
Cameroon,Inflation Rate,3.9,4.3,8.5,0.3,percent
Cameroon,Inflation Rate MoM,0.1,0.4,2.2,-0.7,percent
Cameroon,Consumer Price Index CPI,112,112,112,78.97,points
Cameroon,CPI Housing Utilities,107,107,107,81.15,points
Cameroon,CPI Transportation,130,130,130,76.84,points
Cameroon,Food Inflation,4.3,5.2,16.4,-0.9,percent
Cameroon,Interest Rate,5,5,5,2.45,percent
Cameroon,Balance of Trade,-123,-135,304,-1187,XAF Billion
Cameroon,Current Account,-1502,-946,-118,-1502,XAF Billion
Cameroon,Current Account to GDP,-2.7,-3.4,1.38,-7.26,percent of GDP
Cameroon,Exports,342,261,3590,107,XAF Billion
Cameroon,Imports,465,396,4292,175,XAF Billion
Cameroon,Gold Reserves,0,0,0.93,0,Tonnes
Cameroon,Crude Oil Production,46,47,138,46,BBL/D/1K
Cameroon,Terrorism Index,6.98,7.35,7.77,0,Points
Cameroon,Government Debt to GDP,41.9,45.3,131,9.3,percent of GDP
Cameroon,Government Budget,-0.9,-1.1,33,-6.4,percent of GDP
Cameroon,Corruption Index,27,26,27,14,Points
Cameroon,Corruption Rank,140,142,153,49,
Cameroon,Credit Rating,23,,,,
Cameroon,Government Spending,726,673,878,417,XAF Billion
Cameroon,Military Expenditure,456,417,456,20.3,USD Million
Cameroon,Corporate Tax Rate,33,33,38.5,33,percent
Cameroon,Personal Income Tax Rate,38.5,38.5,38.5,35,percent
Cameroon,Sales Tax Rate,19.25,19.25,19.25,19.25,percent
Cameroon,Social Security Rate,20.4,20.4,20.4,19,percent
Cameroon,Social Security Rate For Companies,16.2,16.2,16.2,16.2,percent
Cameroon,Social Security Rate For Employees,4.2,4.2,4.2,2.8,percent
Cameroon,Industrial Production,1.41,0.76,32.29,-14.03,percent
Cameroon,Manufacturing Production,1.58,0.44,40.61,-15.87,percent
Cameroon,Consumer Spending,4459,4622,4724,2474,XAF Billion
Canada,Currency,1.35,1.35,1.62,0.91,
Canada,Stock Market,23957,24034,24107,1332,points
Canada,GDP Growth Rate,0.5,0.4,9.1,-11,percent
Canada,GDP Annual Growth Rate,0.9,0.6,12.4,-12.2,percent
Canada,GDP Growth Annualized,2.1,1.8,36.3,-44,percent
Canada,Unemployment Rate,6.6,6.4,13.7,2.9,percent
Canada,Inflation Rate,2,2.5,21.6,-17.8,percent
Canada,Inflation Rate MoM,-0.2,0.4,2.6,-1.3,percent
Canada,Interest Rate,4.25,4.5,16,0.25,percent
Canada,Balance of Trade,684,-179,8554,-5755,CAD Million
Canada,Current Account,-8500,-5400,12492,-20035,CAD Million
Canada,Current Account to GDP,-0.6,-0.4,2.6,-4.2,percent of GDP
Canada,Government Debt to GDP,107,113,118,44.9,percent of GDP
Canada,Government Budget,-1.4,-1.3,5.1,-14.8,percent of GDP
Canada,Business Confidence,48.2,57.6,75,22.8,points
Canada,Manufacturing PMI,49.5,47.8,58.9,33,points
Canada,Consumer Confidence,50.1,47,57.05,35.6,points
Canada,Retail Sales MoM,0.9,-0.2,24,-23.6,percent
Canada,Building Permits,12389747,10146568,13197427,57056,CAD Thousand
Canada,Corporate Tax Rate,26.5,26.5,50.9,26.1,percent
Canada,Personal Income Tax Rate,33,33,33,29,percent
Canada,GDP Growth Rate,0.5,0.4,9.1,-11,percent
Canada,GDP Annual Growth Rate,0.9,0.6,12.4,-12.2,percent
Canada,GDP Growth Annualized,2.1,1.8,36.3,-44,percent
Canada,GDP,2140,2161,2161,40.46,USD Billion
Canada,GDP Constant Prices,2378917,2366367,2378917,363923,CAD Million
Canada,Gross National Product,2963896,2920040,2963896,39852,CAD Million
Canada,Gross Fixed Capital Formation,497535,493215,536777,65003,CAD Million
Canada,GDP per Capita,44388,45227,45227,26999,USD
Canada,GDP per Capita PPP,55818,56873,56873,38433,USD
Canada,Full Year GDP Growth,1.1,3.82,7.43,-5.04,percent
Canada,Monthly GDP MoM,0,0.2,5.8,-10.8,percent
Canada,GDP from Agriculture,42196,41928,44439,23820,CAD Million
Canada,GDP from Construction,160641,161346,170526,77365,CAD Million
Canada,GDP from Manufacturing,207648,207123,234844,153978,CAD Million
Canada,GDP from Mining,117303,117594,117594,70081,CAD Million
Canada,GDP from Public Administration,167875,167208,167875,93289,CAD Million
Canada,GDP from Services,1659757,1656683,1659757,815573,CAD Million
Canada,GDP from Transport,93085,93473,101925,55400,CAD Million
Canada,GDP from Utilities,46196,45621,47544,33129,CAD Million
Canada,Unemployment Rate,6.6,6.4,13.7,2.9,percent
Canada,Employed Persons,20536,20514,20536,9637,Thousand
Canada,Unemployed Persons,1459,1398,2691,692,Thousand
Canada,Full Time Employment,-43.6,61.6,569,-1474,Thousand
Canada,Part Time Employment,65.7,-64.4,466,-587,Thousand
Canada,Employment Change,22.1,-2.8,1036,-1991,Thousand
Canada,Labor Force Participation Rate,65.1,65,67.7,60.1,percent
Canada,Youth Unemployment Rate,14.5,14.2,30.3,9.3,percent
Canada,Labour Costs,134,133,134,42.34,points
Canada,Productivity,99.83,100,120,62.34,points
Canada,Wages,30.88,30.77,30.88,13.73,CAD/Hour
Canada,Minimum Wages,17.2,16.55,17.2,1,CAD/Hour
Canada,Wages in Manufacturing,30.74,30.66,31.49,14.96,CAD/Hour
Canada,Population,40.8,39.29,40.8,17.91,Million
Canada,Retirement Age Women,65,65,65,65,Years
Canada,Retirement Age Men,65,65,65,65,Years
Canada,Average Weekly Earnings,1253,1250,1253,542,CAD
Canada,Average Hourly Earnings,36.49,36.36,36.49,15.88,CAD
Canada,Employment Rate,60.8,60.9,63.6,51.9,percent
Canada,Job Vacancies,582600,641640,983620,364190,
Canada,Non Farm Payrolls,18155,18202,18202,10864,Thousand
Canada,Wage Growth,4.5,4.2,10.1,-0.4,percent
Canada,Inflation Rate,2,2.5,21.6,-17.8,percent
Canada,Inflation Rate MoM,-0.2,0.4,2.6,-1.3,percent
Canada,Consumer Price Index CPI,162,162,162,12.1,points
Canada,Core Consumer Prices,156,156,156,61.7,points
Canada,Core Inflation Rate,1.5,1.7,6.2,0,percent
Canada,GDP Deflator,126,125,126,11.1,points
Canada,Producer Prices,127,128,133,13.3,points
Canada,Producer Prices Change,0.2,2.8,21.5,-7.1,percent
Canada,Export Prices,137,136,151,58.6,points
Canada,Import Prices,134,133,134,66.9,points
Canada,Food Inflation,2.7,2.7,20.18,-7.14,percent
Canada,Commodity Prices YoY,-2.5,4.1,56.1,-34.8,percent
Canada,Core Inflation Rate MoM,-0.1,0.3,1,-0.6,percent
Canada,CPI Median,2.3,2.4,5,0.9,Percent
Canada,CPI Trimmed-Mean,2.4,2.7,5.6,0.8,Percent
Canada,Inflation Expectations,4.09,4.92,7.18,2.08,percent
Canada,Producer Price Inflation MoM,-0.8,-0.1,3.8,-2.9,percent
Canada,Rent Inflation,8.8,8.9,10.27,0,percent
Canada,Services Inflation,4.4,4.8,13.89,0.46,percent
Canada,CPI Housing Utilities,183,182,183,39.1,points
Canada,CPI Transportation,174,176,176,10.9,points
Canada,Wholesale Prices,139,144,167,38.5,points
Canada,Interest Rate,4.25,4.5,16,0.25,percent
Canada,Interbank Rate,4.97,4.97,8.95,0.43,percent
Canada,Money Supply M0,232852,250911,497458,2214,CAD Million
Canada,Money Supply M1,1553696,1544648,1625566,30706,CAD Million
Canada,Money Supply M2,2571135,2551791,2571135,25523,CAD Million
Canada,Money Supply M3,3703689,3667076,3703689,37982,CAD Million
Canada,Banks Balance Sheet,3412587,4095699,5049709,239092,CAD Million
Canada,Central Bank Balance Sheet,289480,289301,576479,2110,CAD Million
Canada,Foreign Exchange Reserves,125782,124205,125782,1678,USD Million
Canada,Loans to Private Sector,674820,659572,674820,10904,CAD Million
Canada,Deposit Interest Rate,4.91,4.91,22.06,-0.1,percent
Canada,Foreign Stock Investment,10979,5195,52614,-24986,CAD Million
Canada,Investment in Foreign Securities,4451,16352,35612,-42025,CAD Million
Canada,Private Debt to GDP,269,268,305,176,percent
Canada,Balance of Trade,684,-179,8554,-5755,CAD Million
Canada,Current Account,-8500,-5400,12492,-20035,CAD Million
Canada,Current Account to GDP,-0.6,-0.4,2.6,-4.2,percent of GDP
Canada,Exports,65660,65920,69017,1366,CAD Million
Canada,Imports,64970,66100,66100,1112,CAD Million
Canada,External Debt,4272791,4159276,4272791,354800,CAD Million
Canada,Terms of Trade,102,102,120,81.1,points
Canada,Capital Flows,-11344,-5080,12857,-20501,CAD Million
Canada,Foreign Direct Investment,38538,-13218,50326,-13218,CAD Million
Canada,Gold Reserves,0,0,46.2,0,Tonnes
Canada,Crude Oil Production,4474,4734,4990,955,BBL/D/1K
Canada,Oil Exports,12373,12029,13665,279,CAD Million
Canada,Terrorism Index,1.75,3.28,4.72,0.41,Points
Canada,Tourist Arrivals,4260020,3643749,7006165,67654,
Canada,Weapons Sales,285,175,544,37,SIPRI TIV Million
Canada,Government Debt to GDP,107,113,118,44.9,percent of GDP
Canada,Government Budget,-1.4,-1.3,5.1,-14.8,percent of GDP
Canada,Government Budget Value,-4400,940,9533,-44405,CAD Million
Canada,Government Spending,529257,521617,529257,98078,CAD Million
Canada,Government Revenues,40826,38482,46409,3384,CAD Million
Canada,Fiscal Expenditure,34643,31932,77508,5565,CAD Million
Canada,Asylum Applications,14825,14290,16440,661,Persons
Canada,Corruption Index,76,74,92,74,Points
Canada,Corruption Rank,12,14,14,5,
Canada,Credit Rating,100,,,,
Canada,Government Debt,1173,1140,1173,14.83,CAD Billion
Canada,Military Expenditure,27222,25568,27222,426,USD Million
Canada,Corporate Tax Rate,26.5,26.5,50.9,26.1,percent
Canada,Personal Income Tax Rate,33,33,33,29,percent
Canada,Sales Tax Rate,5,5,7,5,percent
Canada,Social Security Rate,14.38,14.09,14.95,7.9,percent
Canada,Social Security Rate For Companies,7.66,7.37,7.9,4.3,percent
Canada,Social Security Rate For Employees,6.72,6.72,7.05,3.6,percent
Canada,Withholding Tax Rate,25,25,25,25,percent
Canada,Business Confidence,48.2,57.6,75,22.8,points
Canada,Manufacturing PMI,49.5,47.8,58.9,33,points
Canada,Industrial Production,-0.3,0.1,20.9,-22.5,percent
Canada,Industrial Production Mom,-0.5,0.6,6.6,-15.8,percent
Canada,Manufacturing Production,-3.5,-2.5,32.4,-27.7,percent
Canada,Capacity Utilization,79.1,78.6,87.3,71.2,percent
Canada,New Orders,68813047,72218372,77434169,14816411,CAD Thousand
Canada,Changes in Inventories,25669,25393,72457,-29778,CAD Million
Canada,Bankruptcies,339,351,872,108,Companies
Canada,Corporate Profits,144391,141357,153763,-758,CAD Million
Canada,Car Registrations,168791,166120,220858,19807,Units
Canada,Composite Leading Indicator,99.69,99.54,104,94.46,points
Canada,Composite PMI,47.8,47,56.1,44.7,points
Canada,Electric Car Registrations,8832,5710,13807,1133,Units
Canada,Services PMI,47.8,47.3,56.1,44.5,points
Canada,Business Climate Indicator,-2.9,-2.39,5.63,-6.85,points
Canada,Manufacturing Sales,-1.5,1.4,21.6,-27.6,percent
Canada,Mining Production,6.1,7.4,27.3,-20.4,percent
Canada,Small Business Sentiment,55,56.9,74.07,30.84,points
Canada,Wholesale Sales,-1.1,0.4,41.4,-21.7,percent
Canada,Consumer Confidence,50.1,47,57.05,35.6,points
Canada,Retail Sales MoM,0.9,-0.2,24,-23.6,percent
Canada,Retail Sales Ex Autos,0.4,0.3,14.1,-18.8,percent
Canada,Retail Sales YoY,0.9,0.3,55.6,-30.2,percent
Canada,Consumer Spending,1349492,1347427,1349492,193805,CAD Million
Canada,Disposable Personal Income,1690208,1665436,1690208,24872,CAD Million
Canada,Personal Savings,7.2,6.7,26.5,-0.1,percent
Canada,Consumer Credit,769283,767186,769283,11066,CAD Million
Canada,Bank Lending Rate,6.7,6.7,22.75,2.25,percent
Canada,Gasoline Prices,1.12,1.17,1.59,0.41,USD/Liter
Canada,Households Debt to GDP,102,102,113,54.02,percent of GDP
Canada,Households Debt to Income,175,175,185,86.11,percent
Canada,Building Permits,12389747,10146568,13197427,57056,CAD Thousand
Canada,Housing Starts,217,280,321,90.7,Thousand units
Canada,Housing Index,125,125,126,37.7,points
Canada,Average House Prices,717400,717500,835000,239800,CAD
Canada,Building Permits MoM,22.1,-13,35.5,-28.5,percent
Canada,Home Sales,39073,38584,63689,16164,units
Canada,House Price Index MoM,0,0.2,3.1,-1.9,percent
Canada,House Price Index YoY,0,0.1,16.5,-9.7,percent
Canada,Home Ownership Rate,66.5,66.8,68.55,63.9,percent
Canada,Price to Rent Ratio,136,138,160,19.57,
Canada,Residential Property Prices,0.99,0.7,36.83,-14.72,Percent
Canada,Crude Oil Rigs,219,193,715,18,
Canada,Hospital Beds,2.58,2.55,6.92,2.52,per 1000 people
Canada,Hospitals,18.46,18.46,30.95,18.46,per one million people
Canada,Medical Doctors,2.8,2.81,2.81,1.14,per 1000 people
Canada,Nurses,11.17,10.99,11.17,6.33,per 1000 people
Chad,Currency,587,588,795,407,
Chad,GDP Annual Growth Rate,4.1,3.4,34.3,-21.44,percent
Chad,Unemployment Rate,1,1.1,1.7,0.6,percent
Chad,Inflation Rate,12.1,11.2,41.72,-13.06,percent
Chad,Interest Rate,5,5,5,2.45,percent
Chad,Balance of Trade,1464,1948,1948,-905,XAF Billion
Chad,Current Account,1440,1729,1729,-1573,XAF Billion
Chad,Current Account to GDP,1.7,0.5,7.1,-124,percent of GDP
Chad,Government Debt to GDP,35.1,48.8,90.2,19.9,percent of GDP
Chad,Government Budget,4,5.4,5.4,-7.8,percent of GDP
Chad,Corporate Tax Rate,35,35,40,35,percent
Chad,Personal Income Tax Rate,30,30,60,30,percent
Chad,GDP Annual Growth Rate,4.1,3.4,34.3,-21.44,percent
Chad,GDP,13.15,12.4,13.94,0.31,USD Billion
Chad,GDP per Capita,599,594,778,341,USD
Chad,GDP per Capita PPP,1775,1758,2304,1123,USD
Chad,Unemployment Rate,1,1.1,1.7,0.6,percent
Chad,Population,18.28,17.72,18.28,3.03,million
Chad,Inflation Rate,12.1,11.2,41.72,-13.06,percent
Chad,Food Inflation,16.6,12.5,21.92,-10.99,percent
Chad,Consumer Price Index CPI,125,123,125,99.8,points
Chad,Interest Rate,5,5,5,2.45,percent
Chad,Balance of Trade,1464,1948,1948,-905,XAF Billion
Chad,Current Account,1440,1729,1729,-1573,XAF Billion
Chad,Current Account to GDP,1.7,0.5,7.1,-124,percent of GDP
Chad,Exports,2793,2758,2793,129,XAF Billion
Chad,Imports,1054,887,2187,162,XAF Billion
Chad,Crude Oil Production,127,127,210,25,BBL/D/1K
Chad,Terrorism Index,4.99,6.17,6.75,0.26,Points
Chad,Government Debt to GDP,35.1,48.8,90.2,19.9,percent of GDP
Chad,Government Budget,4,5.4,5.4,-7.8,percent of GDP
Chad,Corruption Index,20,19,22,16,Points
Chad,Corruption Rank,162,167,175,142,
Chad,Military Expenditure,372,332,739,16.1,USD Million
Chad,Corporate Tax Rate,35,35,40,35,percent
Chad,Personal Income Tax Rate,30,30,60,30,percent
Chad,Sales Tax Rate,18,18,18,18,percent
Chad,Social Security Rate,20,20,20,20,percent
Chad,Social Security Rate For Companies,16.5,16.5,16.5,16.5,percent
Chad,Social Security Rate For Employees,3.5,3.5,3.5,3.5,percent
Chad,Industrial Production,14.9,0.7,47.62,-39,percent
Chile,Currency,900,900,1061,347,
Chile,Stock Market,32812,32793,34614,2961,points
Chile,GDP Growth Rate,-0.6,1.9,6.9,-12.8,percent
Chile,GDP Annual Growth Rate,1.6,2.5,18.3,-15,percent
Chile,Unemployment Rate,8.7,8.3,13.5,5.1,percent
Chile,Inflation Rate,4.7,4.6,746,-3.4,percent
Chile,Interest Rate,5.5,5.75,14,0.5,percent
Chile,Balance of Trade,1132,1295,3019,-1337,USD Million
Chile,Current Account,-1817,313,3812,-8860,USD Million
Chile,Current Account to GDP,-3.6,-9,4.5,-14,percent of GDP
Chile,Government Debt to GDP,46.1,38,46.1,3.9,percent of GDP
Chile,Government Budget,-2.5,1.1,8,-7.5,percent of GDP
Chile,Business Confidence,46.14,45.29,64.43,31.74,points
Chile,Consumer Confidence,33.2,28,59.3,20.3,points
Chile,Retail Sales MoM,-3,4.6,28.3,-16.2,percent
Chile,Corporate Tax Rate,27,27,27,15,percent
Chile,Personal Income Tax Rate,40,40,40,35,percent
Chile,GDP Growth Rate,-0.6,1.9,6.9,-12.8,percent
Chile,GDP Annual Growth Rate,1.6,2.5,18.3,-15,percent
Chile,GDP,336,302,336,4.1,USD Billion
Chile,GDP Constant Prices,51759,52081,52081,20074,CLP Billion
Chile,Gross National Product,203750,203305,203750,66166,CLP Billion
Chile,Gross Fixed Capital Formation,11322,11530,987856,3294,CLP Billion
Chile,GDP per Capita,14248,14235,14248,3289,USD
Chile,GDP per Capita PPP,29507,29481,29507,11142,USD
Chile,Full Year GDP Growth,0.2,2.1,11.3,-6.1,percent
Chile,GDP from Agriculture,1298,2395,2892,310,CLP Billion
Chile,GDP from Construction,2905,3093,3478,1786,CLP Billion
Chile,GDP from Manufacturing,4464,4674,4768,2520,CLP Billion
Chile,GDP from Mining,3633,3660,4662,2915,CLP Billion
Chile,GDP from Public Administration,2580,2496,2580,1272,CLP Billion
Chile,GDP from Services,5126,5131,5764,2706,CLP Billion
Chile,GDP from Transport,2866,3097,3097,808,CLP Billion
Chile,GDP from Utilities,1813,1980,2101,655,CLP Billion
Chile,Unemployment Rate,8.7,8.3,13.5,5.1,percent
Chile,Employed Persons,9257,9321,9339,6479,Thousand
Chile,Unemployed Persons,880,849,1066,498,Thousand
Chile,Employment Rate,56.5,56.9,59.7,45,percent
Chile,Labor Force Participation Rate,61.9,62.1,63.4,51.8,percent
Chile,Wages,6399,6366,6809,2571,CLP/Hour
Chile,Minimum Wages,500000,460000,500000,115648,CLP/Month
Chile,Wages in Manufacturing,110,108,162,97.75,points
Chile,Population,19.96,19.83,19.96,7.65,Million
Chile,Retirement Age Women,60,60,60,60,Years
Chile,Retirement Age Men,65,65,65,65,Years
Chile,Inflation Rate,4.7,4.6,746,-3.4,percent
Chile,Consumer Price Index CPI,104,104,104,0,points
Chile,Core Consumer Prices,103,103,103,2.96,points
Chile,Core Inflation Rate,3.63,3.28,37.7,-2.9,percent
Chile,Export Prices,132,135,141,40.8,points
Chile,Import Prices,108,110,123,66.62,points
Chile,Food Inflation,4.95,5.8,24.41,-0.4,percent
Chile,Core Inflation Rate MoM,0.2,0.7,1.4,-0.6,percent
Chile,CPI Transportation,102,102,104,71.13,points
Chile,GDP Deflator,145,147,147,39.02,points
Chile,Inflation Rate MoM,0.3,0.7,87.58,-6.54,percent
Chile,Producer Prices,169,174,177,82.41,points
Chile,Producer Prices Change,9,14.5,38.9,-13.21,percent
Chile,Interest Rate,5.5,5.75,14,0.5,percent
Chile,Interbank Rate,5.4,5.4,11.86,0.06,percent
Chile,Money Supply M1,55749,56451,80305,0,CLP Billion
Chile,Money Supply M2,204337,205719,205719,754,CLP Billion
Chile,Money Supply M3,352302,352844,352844,1232,CLP Billion
Chile,Banks Balance Sheet,210689,209645,210689,19067,CLP Million
Chile,Foreign Exchange Reserves,46257,45500,55030,1999,USD Million
Chile,Loans to Private Sector,141051,140922,143571,15521,CLP Billion
Chile,Deposit Interest Rate,10.41,8.99,48.68,0.86,percent
Chile,Central Bank Balance Sheet,38876,38652,66713,10731,CLP Million
Chile,Private Debt to GDP,200,205,218,154,percent
Chile,Balance of Trade,1132,1295,3019,-1337,USD Million
Chile,Current Account,-1817,313,3812,-8860,USD Million
Chile,Current Account to GDP,-3.6,-9,4.5,-14,percent of GDP
Chile,Exports,8012,8344,9442,644,USD Million
Chile,Imports,6879,7049,9016,493,USD Million
Chile,External Debt,244465,245856,245856,2435,USD Million
Chile,Capital Flows,-3732,-334,15098,-10038,USD Million
Chile,Gold Reserves,0.25,0.25,35.96,0.21,Tonnes
Chile,External Debt to GDP,12.8,7.5,12.8,1.4,percent of GDP
Chile,Foreign Direct Investment,-2595,-2723,3897,-6312,USD Million
Chile,Terms of Trade,123,124,125,58.79,points
Chile,Terrorism Index,5.68,6.62,6.62,0.5,Points
Chile,Tourist Arrivals,827071,668492,1429187,60850,
Chile,Government Debt to GDP,46.1,38,46.1,3.9,percent of GDP
Chile,Government Budget,-2.5,1.1,8,-7.5,percent of GDP
Chile,Government Budget Value,-1298190,-917817,6290995,-3557517,CLP Million
Chile,Government Spending,9317,7303,9317,2490,CLP Billion
Chile,Government Revenues,5010183,5594189,10864986,166448,CLP Million
Chile,Fiscal Expenditure,6308373,6512007,9473494,751218,CLP Million
Chile,Corruption Index,66,67,79.4,60.5,Points
Chile,Corruption Rank,29,27,29,14,
Chile,Credit Rating,73,,,,
Chile,Military Expenditure,5492,4649,5687,87.5,USD Million
Chile,Corporate Tax Rate,27,27,27,15,percent
Chile,Personal Income Tax Rate,40,40,40,35,percent
Chile,Sales Tax Rate,19,19,19,19,percent
Chile,Social Security Rate,26.29,26.29,26.29,7,percent
Chile,Social Security Rate For Companies,7.89,7.89,7.89,4.5,percent
Chile,Social Security Rate For Employees,18.4,18.4,19,7,percent
Chile,Withholding Tax Rate,35,35,35,35,percent
Chile,Business Confidence,46.14,45.29,64.43,31.74,points
Chile,Industrial Production,3.6,-1,14.05,-11.5,percent
Chile,Industrial Production Mom,1.9,-0.4,11,-9.5,percent
Chile,Manufacturing Production,5.1,-4.8,32.06,-14.17,percent
Chile,Changes in Inventories,-1102,999,2083,-2341,CLP Billion
Chile,Total Vehicle Sales,28335,25087,42627,8681,Units
Chile,Leading Economic Index,4.2,0.2,20.4,-15.9,percent
Chile,Copper Production,444,453,555,356,Thousands of Tonnes
Chile,Mining Production,2.9,2.2,36.7,-21.8,percent
Chile,Consumer Confidence,33.2,28,59.3,20.3,points
Chile,Retail Sales MoM,-3,4.6,28.3,-16.2,percent
Chile,Retail Sales YoY,2.7,8,62.3,-25.1,percent
Chile,Consumer Spending,31907,31626,36865,10061,CLP Billion
Chile,Consumer Credit,29402,29382,29601,2224,CLP Billion
Chile,Private Sector Credit,227839,227078,228144,21212,CLP Billion
Chile,Bank Lending Rate,10.06,9.88,16.61,4.44,percent
Chile,Gasoline Prices,1.49,1.49,1.76,0.43,USD/Liter
Chile,Households Debt to GDP,46.2,46.3,48.8,22.6,percent of GDP
Chile,Housing Index,154,153,158,64.3,points
Chile,House Price Index MoM,0.4,0.5,3.7,-2.5,percent
Chile,House Price Index YoY,-0.7,0.8,13.9,-3.6,percent
Chile,Building Permits,2966,5226,34287,1214,Units
Chile,Price to Rent Ratio,136,135,136,51.58,
Chile,Hospital Beds,1.93,1.95,2.78,1.93,per 1000 people
Chile,Hospitals,16.24,16.36,27.06,16.24,per one million people
China,Currency,6.99,6.98,8.73,1.53,
China,Stock Market,3336,3088,6124,95.79,points
China,GDP Growth Rate,0.7,1.5,11.5,-10.4,percent
China,GDP Annual Growth Rate,4.7,5.3,18.7,-6.9,percent
China,Unemployment Rate,5.3,5.2,6.2,3.9,percent
China,Inflation Rate,0.6,0.5,28.4,-2.2,percent
China,Inflation Rate MoM,0.4,0.5,2.6,-1.8,percent
China,Interest Rate,3.35,3.35,5.77,3.35,percent
China,Cash Reserve Ratio,9.5,10,21.5,6,percent
China,Balance of Trade,91.02,84.65,125,-61.99,USD Billion
